rank,ticker,filed_date,company_name,broad_category,reaction_class,MOS_retrospective,llm_importance_norm,baseline_importance,reaction_pattern_score,importance_score,R_short_0_1,R_long_5_20,reasoning,key_signals
1,BA,2023-12-11,BOEING CO,Executive Change,Delayed,0.9621659634317863,1.0,0.8108298171589311,1.0,5.0,-0.00686,-0.16,"The filing announces a significant executive appointment with Stephanie F. Pope being elected as Executive Vice President and Chief Operating Officer. It includes her extensive history with the company and details of her compensation package, indicating a notable leadership change that may impact the company's operations.","[""the Board of Directors (the \""Board\"") of The Boeing Company (the \""Company\"") elected Stephanie F. Pope"", ""effective January 1, 2024"", ""Ms. Pope will receive a base salary of $1,200,000"", ""annual incentive target opportunity of $2,000,000"", ""long-term incentive opportunity of $10,000,000""]"
2,COST,2023-11-24,COSTCO WHOLESALE CORP /NEW,Executive Change,Delayed,0.9479606188466948,1.0,0.739803094233474,1.0,5.0,0.00545,0.08729,"The filing details a significant executive change with Ron Vachris assuming the roles of President and CEO, along with specific bonus structures approved for fiscal year 2024. The changes in leadership roles along with detailed financial compensation updates make it highly important.","[""approved the fiscal 2024 criteria for bonuses to executive officers"", ""Ron Vachris will serve as President until December 31, 2023"", ""President and Chief Executive Officer starting January 1, 2024"", ""eligible to receive a total bonus of up $621,333"", ""Craig Jelinek, who will serve as Chief Executive Officer until December 31, 2023, has requested that he not be given a bonus""]"
3,MSFT,2023-01-18,MICROSOFT CORP,Regulatory,Delayed,0.9137834036568214,1.0,0.5689170182841069,1.0,5.0,0.00801,0.0734,"The filing outlines significant actions affecting financials, including a $1.2 billion charge impacting earnings per share by $0.12. This includes large-scale workforce reductions, which is a critical operational change, hence a high importance score.","[""workforce reductions of approximately 10,000 employees"", ""lease consolidation to create higher density across our workspaces"", ""result in a charge of $1.2 billion"", ""$0.12 negative impact to diluted earnings per share""]"
4,JNJ,2023-10-17,JOHNSON & JOHNSON,Earnings,Delayed,0.8974683544303799,1.0,0.4873417721518987,1.0,5.0,-0.00233,-0.0746,"The filing announces the company's sales and earnings for the recent quarter, indicating important financial results which can impact investor perceptions and stock performance.","[""announcing its sales and earnings for the third quarter ended October 1, 2023.""]"
5,MSFT,2023-10-13,MICROSOFT CORP,Acquisition/Disposition,Delayed,0.8784810126582279,1.0,0.3924050632911393,1.0,5.0,0.00274,0.07377,"This filing announces the completion of a major acquisition by Microsoft of Activision Blizzard, affecting ownership and stock conversions. The financial specifics, such as the $95.00 per share cash transaction, signify high importance.","[""Microsoft Corporation completed its previously announced acquisition of Activision Blizzard, Inc."", ""each share of Activision Blizzard common stock ... was cancelled and automatically converted into the right to receive $95.00 in cash"", ""unvested Activision Blizzard options and stock-based awards were assumed by Microsoft""]"
6,CVS,2023-10-13,CVS HEALTH Corp,Regulatory,Delayed,0.8722925457102673,0.75,0.8614627285513362,1.0,4.0,-0.00392,-0.06057,"The filing details an update regarding Aetna's Medicare Advantage plans' Star Ratings for 2024, indicating a significant improvement that mitigates previous financial headwinds and positively impacts revenue expectations for 2025. This constitutes a high importance event with direct financial implications.","[""the percentage of Aetna Medicare Advantage members in 4+ Star plans is expected to increase to 87%"", ""main driver of this increase was a half Star improvement"", ""decline in our membership in 4+ Star plans for payment year 2024"", ""expected to be eligible for bonus payments that will recover the majority of that revenue decrease in 2025""]"
7,CVS,2023-02-21,CVS HEALTH Corp,Regulatory,Delayed,0.8606188466947962,0.75,0.8030942334739803,1.0,4.0,-0.01233,-0.10664,"The filing details the issuance of $6 billion in senior notes across four different maturities, marking a significant capital raise by CVS Health Corporation. This event has meaningful business implications due to the size of the transaction and its impact on the company's capital structure.","[""$1,500,000,000 aggregate principal amount of the Company\u2019s 5.000% Senior Notes due 2026"", ""$1,500,000,000 aggregate principal amount of the Company\u2019s 5.125% Senior Notes due 2030"", ""$1,750,000,000 aggregate principal amount of the Company\u2019s 5.250% Senior Notes due 2033"", ""$1,250,000,000 aggregate principal amount of the Company\u2019s 5.625% Senior Notes due 2053""]"
8,MRK,2023-05-17,"Merck & Co., Inc.",Regulatory,Delayed,0.8555555555555556,0.75,0.7777777777777778,1.0,4.0,-0.00155,-0.10018,"The filing details a significant financial transaction involving a large public offering of several series of notes with varying principal amounts and interest rates. This indicates a strategic action to manage debt or raise capital, involving substantial monetary figures.","[""closed an underwritten public offering of $500,000,000 aggregate principal amount of 4.050% Notes due 2028"", ""$750,000,000 aggregate principal amount of 4.300% Notes due 2030"", ""$1,500,000,000 aggregate principal amount of 4.500% Notes due 2033"", ""aggregate principal amount of $1,000,000,000 aggregate principal amount of 5.150% Notes due 2063"", ""The Notes are being issued under an indenture dated as of January 6, 2010""]"
9,T,2023-04-20,AT&T INC.,Regulatory,Delayed,0.8410689170182841,0.75,0.7053445850914205,1.0,4.0,-0.00733,-0.08976,"The filing provides detailed financial results for AT&T's first quarter of 2023, showing a decrease in income from the previous year but an increase in operating revenues and subscribers. Significant figures include a $4.5 billion income from continuing operations and $30.1 billion in operating revenues. These updates, including subscriber growth, indicate important company performance metrics.","[""first-quarter 2023 income from continuing operations totaled $4.5 billion, or $0.57 per diluted share."", ""Operating revenues in the first quarter of 2023 were $30.1 billion, up 1.4 percent from the first quarter of 2022."", ""Cash from operating activities from continuing operations in the first quarter of 2023 was $6.7 billion, down nearly $1.0 billion when compared to 2022."", ""During the first quarter of 2023, we reported a net gain of 5.1 million wireless subscribers.""]"
10,ABBV,2023-04-05,AbbVie Inc.,Earnings,Delayed,0.8362869198312237,0.75,0.681434599156118,1.0,4.0,-0.00158,-0.08837,"The filing discusses preliminary earnings results and provides specific guidance for both the first quarter and full-year 2023, with detailed earnings per share ranges. This information is significant as it gives investors insights into expected financial performance despite the results not being finalized.","[""Results for the quarter ended March 31, 2023 have not been finalized"", ""AbbVie\u2019s full-year 2023 adjusted diluted earnings per share guidance range, including the impact of first quarter 2023 acquired IPR&D and milestones expense, is $10.62 - $11.02."", ""AbbVie\u2019s first quarter 2023 adjusted diluted earnings per share guidance range, including the impact of first quarter 2023 acquired IPR&D and milestones expense, is $2.31 - $2.41.""]"
